tema,artista,album,albumId,cover
Lágrimas negras,Buena Vista Social Club,Buena Vista Social Club (Original Broadway Cast Recording),1817170655,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/85/d8/e8/85d8e8ab-d511-542c-e2dd-8c447c52aa81/4099964182866.jpg/300x300bb.jpg
Por una cabeza,Carlos Gardel,Lo Mejor de Carlos Gardel,435221771,https://is1-ssl.mzstatic.com/image/thumb/Music/a4/c4/3b/mzi.wwqfuldm.jpg/300x300bb.jpg
Magia veneno,Catupecu Machu,El Número Imperfecto,722225843,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/a9/09/75/a9097569-081b-2584-930a-59d7c1b95ac8/00724387593350.jpg/300x300bb.jpg
Buscando un símbolo de paz,Charly García,Parte de la Religión,321799872,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/c8/50/23/c85023c0-d7e7-7462-2574-a7efe528f7da/mzi.uuvufkwr.jpg/300x300bb.jpg
Cerca de la revolución,Charly García,Piano Bar,1421884385,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/17/47/db/1747dbb2-b278-3a40-893f-64e38b48b1cc/00602567965305.rgb.jpg/300x300bb.jpg
Demoliendo hoteles,Charly García,Rock en Español 80's 90's y más,1614747081,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/33/87/42/338742de-3d42-14d2-7774-5188faffe56e/22UMGIM01720.rgb.jpg/300x300bb.jpg
Fanky,Charly García,Como Conseguir Chicas,321702877,https://is1-ssl.mzstatic.com/image/thumb/Music/c0/f0/a4/mzi.lfapujua.jpg/300x300bb.jpg
Hablando a tu corazón,Charly García,García 87/93,321532081,https://is1-ssl.mzstatic.com/image/thumb/Music/e8/e9/a1/mzi.jwwofyey.jpg/300x300bb.jpg
Los dinosaurios,Charly García,El Álbum,1443717181,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/44/c8/7a/44c87a85-89e7-337d-3b45-50a7cf62fe45/00731452253026.rgb.jpg/300x300bb.jpg
No soy un extraño,Charly García,Clics Modernos,1443921010,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/08/20/1e/08201e46-ec97-0f6a-1682-11d71a87bfab/00602498002155.rgb.jpg/300x300bb.jpg
No voy en tren,Charly García,Parte de la Religión,321799872,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/c8/50/23/c85023c0-d7e7-7462-2574-a7efe528f7da/mzi.uuvufkwr.jpg/300x300bb.jpg
Nos siguen pegando abajo,Charly García,Cuarenta Obras Fundamentales (Volumen 2),1504939801,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/c3/22/53/c3225393-17ed-b085-ba5b-1f932ad967de/09UMGIM41962.rgb.jpg/300x300bb.jpg
Promesas sobre el bidet,Charly García,Piano Bar,1421884385,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/17/47/db/1747dbb2-b278-3a40-893f-64e38b48b1cc/00602567965305.rgb.jpg/300x300bb.jpg
Rezo por vos,Charly García,Parte de la Religión,321799872,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/c8/50/23/c85023c0-d7e7-7462-2574-a7efe528f7da/mzi.uuvufkwr.jpg/300x300bb.jpg
Provócame,Chayanne,Provócame,155654139,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/72/df/7a/72df7a18-1333-dcd2-87f1-c15141e35245/mzi.fkfcguxj.jpg/300x300bb.jpg
Le Freak,Chic,C'est Chic,734291580,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/e3/26/c7/e326c72a-c6e0-1887-92a4-e4bb4f04edcd/075678155222.jpg/300x300bb.jpg
Fix You,Coldplay,Para Sanar el Corazón,1804093571,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/f5/d7/cb/f5d7cbf1-499f-90f7-84ce-2865bb7273ab/5059460384378.jpg/300x300bb.jpg
Easy,Commodores,Commodores,1442972066,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/ae/9c/17/ae9c1700-324c-5599-071a-dc64f6b637ff/15UMGIM15842.rgb.jpg/300x300bb.jpg
Mr. Jones,Counting Crows,August and Everything After,1442449109,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/3b/dc/90/3bdc90a2-3697-0c5e-3265-65ccaa7dcbb3/14UMGIM00847.rgb.jpg/300x300bb.jpg
